id,year_from,month_from,year_to,month_to,value
2016_03_2016_03,2016,03,2016,03,0.4
2016_03_2016_04,2016,03,2016,04,0.7
2016_03_2016_05,2016,03,2016,05,0.9
2016_03_2016_06,2016,03,2016,06,1.4
2016_03_2016_07,2016,03,2016,07,1.6
2016_03_2016_08,2016,03,2016,08,1.7
2016_03_2016_09,2016,03,2016,09,1.9
2016_03_2016_10,2016,03,2016,10,2.1
2016_03_2016_11,2016,03,2016,11,2.2
2016_12_2017_01,2016,12,2017,01,0.2
2016_12_2017_02,2016,12,2017,02,0.3
2016_12_2017_03,2016,12,2017,03,0.6
2016_12_2017_04,2016,12,2017,04,1.0
2016_12_2017_05,2016,12,2017,05,1.2
2016_12_2017_06,2016,12,2017,06,1.3
2016_12_2017_07,2016,12,2017,07,0.9
2016_12_2017_08,2016,12,2017,08,1.2
2016_12_2017_09,2016,12,2017,09,1.4
2016_12_2017_10,2016,12,2017,10,1.2
2016_12_2017_11,2016,12,2017,11,1.8
2013_07_2013_11,2013,07,2013,11,1.6
2013_08_2013_11,2013,08,2013,11,1.3
2013_12_2014_11,2013,12,2014,11,5.7
2014_12_2015_11,2014,12,2015,11,3.9
2015_12_2016_11,2015,12,2016,11,2.9
2017_12_2018_01,2017,12,2018,01,0.1
2018_01_2018_02,2018,01,2018,02,0.6
2018_02_2018_03,2018,02,2018,03,0.7
2018_03_2018_04,2018,03,2018,04,0.9
2018_04_2018_05,2018,04,2018,05,1.2
2018_05_2018_06,2018,05,2018,06,1.5
2018_06_2018_07,2018,06,2018,07,1.6
2018_07_2018_08,2018,07,2018,08,1.9
2018_08_2018_09,2018,08,2018,09,2.1
2018_09_2018_10,2018,09,2018,10,2.5
2018_10_2018_11,2018,10,2018,11,2.8
